antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cluster
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.0504,0.0848,0.0092,0.18253968253968253,2.152590595986822,1.0,0.00492608,1.1195650485436894,0.5638621295923226,0.07301587301587302,0.10679598179598178,0.1455151242887092,2
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.0286,0.0848,0.0062,0.21678321678321677,2.5564058582926505,1.0,0.0037747199999999996,1.1685142857142856,0.6267508816672975,0.05783582089552238,0.14421243092571764,0.1449482121651933,2
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.0357,0.0848,0.0069,0.19327731092436973,2.279213572221341,1.0,0.0038726399999999997,1.1344666666666667,0.5820306687888037,0.06073943661971831,0.11852853029323615,0.1373226177263358,2
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.024,0.0848,0.0055,0.22916666666666666,2.702437106918239,1.0,0.0034647999999999997,1.1872864864864865,0.6454545454545455,0.05324298160696998,0.15774329836829834,0.1470125786163522,2
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0504,0.0848,0.0095,0.1884920634920635,2.222783767595088,1.0,0.00522608,1.1277770171149144,0.5793109564137808,0.07557677008750996,0.11329989454989454,0.15026018268942798,2
frozenset({'Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0392,0.0848,0.0059,0.15051020408163265,1.7748844820947247,1.0,0.00257584,1.0773525525525525,0.45439534850901087,0.04995766299745978,0.0717987369773084,0.11004283788987293,2
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.0252,0.1059,0.0071,0.28174603174603174,2.66049132904657,1.0,0.004431320000000001,1.2448243093922653,0.640264236217469,0.05725806451612903,0.1966737856459364,0.17439520661900265,2
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.018,0.1059,0.0066,0.3666666666666667,3.4623858986465224,1.0,0.0046938,1.4117368421052632,0.7242177374560267,0.056265984654731455,0.2916526861275771,0.21449480642115204,2
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.0367,0.1059,0.0082,0.22343324250681199,2.1098512040303303,1.0,0.004313470000000001,1.1513498245614036,0.546073836633726,0.061011904761904774,0.13145424729539423,0.15043239084736257,2
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.0407,0.1059,0.0098,0.24078624078624078,2.2737133218719623,1.0,0.00548987,1.1776656957928802,0.583957902977724,0.07163742690058479,0.15086258895676186,0.16666318649321482,2
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.0178,0.1059,0.0063,0.35393258426966295,3.342139605945826,1.0,0.004414980000000001,1.3839113043478264,0.7134906090312323,0.053662691652470194,0.27741033918987024,0.20671133462774932,2
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.0504,0.1059,0.0077,0.1527777777777778,1.4426607911027176,1.0,0.002362640000000001,1.0553311475409837,0.3231216971739298,0.05181695827725438,0.05243012837241673,0.11274394082467737,2
frozenset({'Strawberries'}),frozenset({'Banana'}),0.0392,0.1059,0.0082,0.2091836734693878,1.9752943670386005,1.0,0.004048720000000001,1.130603870967742,0.5138908633049696,0.05989773557341126,0.1155169147403957,0.14330760632865047,2
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.0318,0.0367,0.0055,0.17295597484276728,4.712696862200743,1.0,0.0043329399999999995,1.1647505703422054,0.8136823721620251,0.0873015873015873,0.1414470827808235,0.16140986753037545,2
frozenset({'Limes'}),frozenset({'Organic Avocado'}),0.0318,0.0407,0.005,0.15723270440251572,3.8632114103812216,1.0,0.00370574,1.138273880597015,0.7654906011154721,0.07407407407407407,0.12147681059367842,0.14004141362631928,2
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.0286,0.0504,0.0058,0.20279720279720279,4.023754023754024,1.0,0.004358559999999999,1.1911649122807018,0.7736008462723547,0.07923497267759562,0.1604856811259507,0.15893828393828394,2
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.024,0.0504,0.0051,0.21250000000000002,4.216269841269842,1.0,0.0038904000000000005,1.20584126984127,0.7815814850530376,0.0735930735930736,0.17070345408593093,0.1568452380952381,2
