antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cluster
frozenset({'100% Whole Wheat Bread'}),frozenset({'Banana'}),0.0209,0.1747,0.005,0.23923444976076558,1.3694015441371814,1.0,0.0013487700000000004,1.0848283018867926,0.27551220508630386,0.02623294858342078,0.07819514087091431,0.13392747101661634,1
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.0342,0.1397,0.0115,0.3362573099415205,2.406995776245673,1.0,0.00672226,1.2961348017621146,0.6052436817416514,0.0708128078817734,0.22847531087006911,0.20928828274456124,1
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Banana'}),0.0342,0.1747,0.0086,0.25146198830409355,1.4393931786153038,1.0,0.00262526,1.1025492187500001,0.31607246914234255,0.04293559660509236,0.09301101212176609,0.15034461750636846,1
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Hass Avocado'}),0.0342,0.086,0.006,0.17543859649122806,2.039983680130559,1.0,0.0030588000000000004,1.108468085106383,0.5278525574653138,0.05253940455341506,0.09785404430112479,0.1226030191758466,1
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Raspberries'}),0.0342,0.058,0.0054,0.15789473684210525,2.7223230490018144,1.0,0.0034164,1.118625,0.6550700628149375,0.06221198156682028,0.10604536819756398,0.12549909255898367,1
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Strawberries'}),0.0342,0.1004,0.0063,0.18421052631578946,1.8347661983644368,1.0,0.00286632,1.1027354838709678,0.471082448303405,0.049103663289166016,0.09316421333458144,0.1234797651499266,1
frozenset({'Asparagus'}),frozenset({'Banana'}),0.0262,0.1747,0.0065,0.24809160305343508,1.4201007616109622,1.0,0.0019228599999999993,1.0976071065989847,0.30378374962478466,0.03343621399176955,0.08892718169566835,0.14264912150382114,1
frozenset({'Asparagus'}),frozenset({'Organic Baby Spinach'}),0.0262,0.0867,0.0052,0.19847328244274806,2.289195875925583,1.0,0.0029284599999999995,1.1394504761904762,0.5783172978182219,0.048282265552460533,0.12238397289253045,0.12922510719599917,1
frozenset({'Carrots'}),frozenset({'Bag of Organic Bananas'}),0.0248,0.1397,0.0052,0.20967741935483872,1.5009120927332766,1.0,0.00173544,1.0885428571428573,0.34222565785322145,0.03264281230382926,0.08134071760413661,0.12345001962731199,1
frozenset({'Fresh Cauliflower'}),frozenset({'Bag of Organic Bananas'}),0.0277,0.1397,0.0068,0.24548736462093862,1.7572467045163824,1.0,0.00293031,1.1402062200956937,0.4432047116902917,0.04234122042341221,0.12296566851207558,0.14708154916802121,1
frozenset({'Half & Half'}),frozenset({'Bag of Organic Bananas'}),0.0283,0.1397,0.005,0.17667844522968199,1.2646989637056694,1.0,0.0010464900000000006,1.0449137339055796,0.21539364001234962,0.030674846625766874,0.04298319798870393,0.1062347129512762,1
frozenset({'Limes'}),frozenset({'Bag of Organic Bananas'}),0.0513,0.1397,0.0082,0.1598440545808967,1.1441950936356242,1.0,0.0010333900000000012,1.0239765661252902,0.13283774716107036,0.044857768052516414,0.023415151204111022,0.10927063144220212,1
frozenset({'Organic Baby Carrots'}),frozenset({'Bag of Organic Bananas'}),0.0235,0.1397,0.0053,0.225531914893617,1.6144016814145814,1.0,0.0020170500000000003,1.1108269230769232,0.3897342260093326,0.03356554781507284,0.09976974880113566,0.13173517720342984,1
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.0867,0.1397,0.0189,0.2179930795847751,1.5604372196476386,1.0,0.006788010000000001,1.1001181415929204,0.3932486239504744,0.0910843373493976,0.09100671810388829,0.17664149326411266,1
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.0329,0.1397,0.0073,0.22188449848024316,1.5882927593431866,1.0,0.0027038700000000006,1.105619921875,0.382993641489951,0.044162129461585,0.09553004589125091,0.137069665131317,1
frozenset({'Organic Cilantro'}),frozenset({'Bag of Organic Bananas'}),0.0252,0.1397,0.0061,0.24206349206349206,1.7327379532103944,1.0,0.0025795600000000007,1.1350554973821991,0.4338107186341714,0.03841309823677582,0.11898580967510411,0.142864244242197,1
frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.0307,0.1397,0.0093,0.3029315960912052,2.1684437801804237,1.0,0.0050112099999999994,1.234168691588785,0.5559061022864299,0.05772811918063314,0.1897379938291354,0.18475141007137208,1
