antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cluster
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.0739,0.0968,0.013,0.17591339648173207,1.8172871537369015,1.0,0.00584648,1.0960013136289,0.4856162733713755,0.08243500317057705,0.08759233445718785,0.15510545857144453,3
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.0326,0.0968,0.0066,0.20245398773006137,2.091466815393196,1.0,0.0034443200000000003,1.1324738461538462,0.5394528288884295,0.05374592833876222,0.11697740005542669,0.13531790295593976,3
frozenset({'Organic Garlic'}),frozenset({'Bag of Organic Bananas'}),0.034,0.0968,0.0062,0.18235294117647058,1.8838113757899855,1.0,0.0029087999999999996,1.1046330935251798,0.485674213584452,0.04975922953451043,0.09472203407492315,0.12320126397666503,3
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.0549,0.0968,0.0131,0.23861566484517308,2.4650378599707965,1.0,0.0077856800000000006,1.1862602870813397,0.6288506163974732,0.09451659451659453,0.15701468649819872,0.18697312167878488,3
frozenset({'Organic Large Extra Fancy Fuji Apple'}),frozenset({'Bag of Organic Bananas'}),0.0173,0.0968,0.0053,0.3063583815028902,3.1648593130463865,1.0,0.00362536,1.3021133333333335,0.6960722384036281,0.04871323529411765,0.23201769431232305,0.18055522380929634,3
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.0223,0.0968,0.005,0.2242152466367713,2.316273209057555,1.0,0.0028413600000000002,1.1642404624277456,0.5812335072108008,0.04382120946538125,0.1410709108024483,0.1379340695993774,3
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.0314,0.0968,0.0063,0.20063694267515925,2.0726956887929675,1.0,0.0032604800000000005,1.1298996015936256,0.534313966484109,0.051681706316653,0.11496561412218695,0.1328597936516292,3
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0659,0.0968,0.0118,0.17905918057663125,1.8497849233123065,1.0,0.00542088,1.1002011090573014,0.49180666970291353,0.0781974817760106,0.09107526636030919,0.15048000351145613,3
frozenset({'Organic Whole Milk'}),frozenset({'Bag of Organic Bananas'}),0.0303,0.0968,0.0057,0.18811881188118812,1.943376155797398,1.0,0.00276696,1.1124780487804877,0.5005997514152506,0.04695222405271829,0.10110585903585931,0.12350155470092464,3
frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.0294,0.0968,0.0051,0.17346938775510207,1.7920391297014677,1.0,0.0022540800000000008,1.0927604938271607,0.4553641774039104,0.042113955408753095,0.08488639034001558,0.11307766908416261,3
frozenset({'Blueberries'}),frozenset({'Banana'}),0.0177,0.1373,0.0051,0.288135593220339,2.0985840729813474,1.0,0.00266979,1.2118880952380953,0.5329209358588187,0.034022681787858576,0.174841304300845,0.1626402656560544,3
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.0336,0.1373,0.0116,0.34523809523809523,2.5144799361842334,1.0,0.006986719999999999,1.3175781818181818,0.6232444622059831,0.07281858129315756,0.2410317552313611,0.21486231054694274,3
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.02,0.1373,0.0068,0.33999999999999997,2.4763292061179896,1.0,0.0040539999999999994,1.3071212121212121,0.608343337334934,0.045182724252491695,0.23496000927321195,0.19476329206117987,3
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.0487,0.1373,0.0111,0.22792607802874745,1.6600588348779857,1.0,0.00441349,1.1173800531914895,0.4179666894898682,0.0634648370497427,0.10504935438593653,0.15438547164365268,3
frozenset({'Limes'}),frozenset({'Banana'}),0.0394,0.1373,0.0077,0.1954314720812183,1.4233901826745687,1.0,0.0022903800000000007,1.0722517350157728,0.3096522465666751,0.0455621301775148,0.06738318312416633,0.12575652263929815,3
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.0563,0.1373,0.0158,0.28063943161634103,2.0439871202938167,1.0,0.00807001,1.1992595061728395,0.5412314576478526,0.08886389201349833,0.16615211732507362,0.19785795324444144,3
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.0739,0.1373,0.0156,0.21109607577807848,1.5374805227828003,1.0,0.00545353,1.093542538593482,0.3774811104743077,0.07975460122699386,0.08554083201353713,0.16235794320586372,3
frozenset({'Organic Blueberries'}),frozenset({'Banana'}),0.0326,0.1373,0.0061,0.18711656441717794,1.3628300394550468,1.0,0.0016240200000000003,1.0612837735849057,0.2752044520211349,0.03724053724053724,0.05774494542387613,0.11577241185170624,3
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.0269,0.1373,0.008,0.29739776951672864,2.1660434779077105,1.0,0.0043066300000000005,1.2278640211640213,0.5532101017367178,0.05121638924455826,0.18557756985826895,0.17783216953622302,3
frozenset({'Organic Garlic'}),frozenset({'Banana'}),0.034,0.1373,0.0053,0.15588235294117647,1.1353412450194935,1.0,0.0006317999999999992,1.02201393728223,0.12340325793976312,0.031927710843373494,0.021539762305756886,0.09724197763591963,3
frozenset({'Organic Hass Avocado'}),frozenset({'Banana'}),0.0549,0.1373,0.0083,0.15118397085610202,1.1011214191995777,1.0,0.00076223,1.0163568669527898,0.09716954794099687,0.04513322457857531,0.016093625659095882,0.10581776838507942,3
frozenset({'Organic Peeled Whole Baby Carrots'}),frozenset({'Banana'}),0.0186,0.1373,0.0051,0.2741935483870968,1.9970396823532177,1.0,0.0025462200000000005,1.1886088888888888,0.5087210347762501,0.033819628647214856,0.15868036210397218,0.15566924323943332,3
